Identificador;Ubicación;Balcon;Vista;Cocina;Descripción;Camas;Tipo
1;Primerpiso;False;True;False;Cozyroomwithaking-sizebed;King-3-True,Doble-2-True;Suite
2;Segundopiso;True;False;True;Spaciousroomwithaworkdesk;Sencilla-1-False;Estandar
3;Tercerpiso;False;True;True;Modernroomwithaminibar;Queen-3-False;Ejecutiva
4;Cuartopiso;True;False;False;Comfortableroomwithajacuzzi;Sencilla-1-False;Suite
5;Quintopiso;False;True;False;Stylishroomwithaloungearea;Doble-2-False;Estandar
6;Segundopiso;True;False;True;Elegantroomwithaprivatebalcony;King-3-True,Doble-2-True;Ejecutiva
7;Tercerpiso;False;True;False;Quaintroomwithacozyfireplace;Queen-3-False;Suite
8;Cuartopiso;False;False;True;ContemporaryroomwithasmartTV;Sencilla-1-False;Estandar
9;Primerpiso;True;False;False;Sereneroomwithaspabathtub;King-3-True,Doble-2-True;Ejecutiva
10;Quintopiso;False;True;True;Charmingroomwithacoffeemaker;Doble-2-True;Suite
